Sector of Institution,Reporting Location,Offense,Date,Count
"Public, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2013,0
"Public, 4-year or above",Public Property,Hate Crime - Aggravated Assault,sum2014,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Aggravated Assault,sum2014,5
"Private for-profit, 4-year or above",Public Property,Hate Crime - Aggravated Assault,sum2014,0
"Public, 2-year",Public Property,Hate Crime - Aggravated Assault,sum2014,4
"Private nonprofit, 2-year",Public Property,Hate Crime - Aggravated Assault,sum2014,0
"Private for-profit, 2-year",Public Property,Hate Crime - Aggravated Assault,sum2014,2
"Public, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2014,1
"Public, 4-year or above",Public Property,Hate Crime - Aggravated Assault,sum2015,3
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Aggravated Assault,sum2015,4
"Private for-profit, 4-year or above",Public Property,Hate Crime - Aggravated Assault,sum2015,0
"Public, 2-year",Public Property,Hate Crime - Aggravated Assault,sum2015,3
"Private nonprofit, 2-year",Public Property,Hate Crime - Aggravated Assault,sum2015,0
"Private for-profit, 2-year",Public Property,Hate Crime - Aggravated Assault,sum2015,0
"Public, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Aggravated Assault,sum2015,2
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,2
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,2
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2013,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,24
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,1
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2014,1
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,4
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,1
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Burglary,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,1
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,24
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,2
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Burglary,sum2015,0
"Public, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2013,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2013,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2013,0
"Public, 2-year",Non-Campus,Hate Crime - Burglary,sum2013,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Burglary,sum2013,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Burglary,sum2013,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2013,0
"Public, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2014,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2014,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2014,0
"Public, 2-year",Non-Campus,Hate Crime - Burglary,sum2014,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Burglary,sum2014,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Burglary,sum2014,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2014,0
"Public, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2015,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2015,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Burglary,sum2015,0
"Public, 2-year",Non-Campus,Hate Crime - Burglary,sum2015,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Burglary,sum2015,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Burglary,sum2015,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Burglary,sum2015,0
"Public, 4-year or above",Public Property,Hate Crime - Burglary,sum2013,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Burglary,sum2013,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Burglary,sum2013,0
"Public, 2-year",Public Property,Hate Crime - Burglary,sum2013,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Burglary,sum2013,0
"Private for-profit, 2-year",Public Property,Hate Crime - Burglary,sum2013,0
"Public, less-than 2-year",Public Property,Hate Crime - Burglary,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Burglary,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Burglary,sum2013,0
"Public, 4-year or above",Public Property,Hate Crime - Burglary,sum2014,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Burglary,sum2014,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Burglary,sum2014,0
"Public, 2-year",Public Property,Hate Crime - Burglary,sum2014,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Burglary,sum2014,0
"Private for-profit, 2-year",Public Property,Hate Crime - Burglary,sum2014,0
"Public, less-than 2-year",Public Property,Hate Crime - Burglary,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Burglary,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Burglary,sum2014,0
"Public, 4-year or above",Public Property,Hate Crime - Burglary,sum2015,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Burglary,sum2015,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Burglary,sum2015,0
"Public, 2-year",Public Property,Hate Crime - Burglary,sum2015,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Burglary,sum2015,0
"Private for-profit, 2-year",Public Property,Hate Crime - Burglary,sum2015,0
"Public, less-than 2-year",Public Property,Hate Crime - Burglary,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Burglary,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Burglary,sum2015,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,2
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,1
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,1
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,1
"Private nonprofit, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2013,0
"Public, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Public, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2014,5
"Public, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,0
"Public, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,2
"Public, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Motor Vehicle Theft,sum2015,1
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2013,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,1
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Arson,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2014,1
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2015,1
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Arson,sum2015,0
"Public, 4-year or above",Non-Campus,Hate Crime - Arson,sum2013,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Arson,sum2013,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Arson,sum2013,0
"Public, 2-year",Non-Campus,Hate Crime - Arson,sum2013,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Arson,sum2013,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Arson,sum2013,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2013,0
"Public, 4-year or above",Non-Campus,Hate Crime - Arson,sum2014,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Arson,sum2014,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Arson,sum2014,0
"Public, 2-year",Non-Campus,Hate Crime - Arson,sum2014,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Arson,sum2014,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Arson,sum2014,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2014,0
"Public, 4-year or above",Non-Campus,Hate Crime - Arson,sum2015,0
